Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Barbados,North America,288023,106798,,579,,106211,,8,,370797,2010,794426,2758203,Americas
Angola,Africa,35027343,105288,,1933,,103342,,13,,3006,55,1499795,42818,Africa
Channel Islands,Europe,176463,101449,,227,,101091,,131,,574902,1286,1252808,7099551,
French Guiana,South America,314169,98041,,420,,11254,,86367,6,312065,1337,651257,2072951,
DRC,Africa,95240792,95749,,1464,,84321,,9964,,1005,15,846704,8890,Africa
Senegal,Africa,17653671,88926,,1971,,86947,,8,,5037,112,1146543,64946,Africa
Malawi,Africa,20180839,88707,,2686,,85583,,438,67,4396,133,624784,30959,Africa
Ivory Coast,Africa,27742298,88268,,834,,87416,,18,,3182,30,1681580,60614,Africa
Suriname,South America,596831,82467,,1404,,,,,,138175,2352,241357,404398,Americas
New Caledonia,Australia/Oceania,290915,79881,,314,,79558,,9,9,274585,1079,98964,340182,
French Polynesia,Australia/Oceania,284164,78055,,649,,,,,7,274683,2284,,,
Eswatini,Africa,1184817,74267,,1425,,72795,,47,,62682,1203,1048704,885119,Africa
Guyana,South America,794045,73086,,1298,,71775,,13,,92043,1635,722993,910519,Americas
Belize,North America,412190,70782,,688,,70085,,9,6,171722,1669,576016,1397453,Americas
Fiji,Australia/Oceania,909466,68898,,883,,67006,,1009,,75757,971,669148,735759,WesternPacific
Madagascar,Africa,29178077,67889,,1423,,66445,,21,,2327,49,526651,18050,Africa
Sudan,Africa,45992020,63829,,5017,,58492,,320,,1388,109,562941,12240,EasternMediterranean
Mauritania,Africa,4901981,63668,,997,,62441,,230,,12988,203,1009957,206030,Africa
Cabo Verde,Africa,567678,63244,,413,,62773,,58,23,111408,728,401622,707482,Africa
Bhutan,Asia,787941,62627,,21,,61564,,1042,,79482,27,2303734,2923739,South-EastAsia
Syria,Asia,19364809,57467,,3164,,54303,,0,,2968,163,146269,7553,EasternMediterranean
Burundi,Africa,12624840,53631,,38,,53569,,24,,4248,3,345742,27386,Africa
Seychelles,Africa,99426,50665,,172,,50440,,53,,509575,1730,,,Africa
Gabon,Africa,2331533,48981,,306,,48674,,1,,21008,131,1621909,695641,Africa
Andorra,Europe,77463,47890,,165,,47563,,162,14,618231,2130,249838,3225256,Europe
Papua New Guinea,Australia/Oceania,9292169,46825,,670,,43982,,2173,7,5039,72,249149,26813,WesternPacific
Curaçao,North America,165529,45986,,295,,44720,,971,3,277812,1782,496693,3000640,
Aruba,North America,107609,44044,,236,,42438,,1370,2,409297,2193,177885,1653068,
Tanzania,Africa,63298550,42906,,846,,,,,7,678,13,,,Africa
Mayotte,Africa,286259,42004,,188,,,,,,146734,657,176919,618038,
Mauritius,Africa,1274727,41769,,1043,,40052,,674,,32767,818,358675,281374,Africa
Togo,Africa,8680837,39404,,290,,39081,,33,,4539,33,808904,93183,Africa
Guinea,Africa,13865691,38267,,467,,37757,,43,8,2760,34,660107,47607,Africa
Isle of Man,Europe,85732,38008,,116,,,,,,443335,1353,150753,1758422,
Bahamas,North America,400516,37491,,833,,36366,,292,1,93607,2080,257839,643767,Americas
Lesotho,Africa,2175699,34790,,723,,25980,,8087,,15990,332,431221,198199,Africa
Faeroe Islands,Europe,49233,34658,,28,,,,,5,703959,569,778000,15802409,
Haiti,North America,11680283,34202,,860,,33052,,290,,2928,74,132422,11337,Americas
Mali,Africa,21473764,33064,,743,,32205,,116,,1540,35,797451,37136,Africa
Cayman Islands,North America,67277,31472,,37,,8553,,22882,1,467797,550,222773,3311280,
Saint Lucia,North America,185113,30004,,409,,29095,,500,,162085,2209,210983,1139752,Americas
Benin,Africa,12784726,27999,,163,,27830,,6,,2190,13,604310,47268,Africa
Somalia,Africa,16841795,27324,,1361,,13182,,12781,,1622,81,400466,23778,EasternMediterranean
Congo,Africa,5797805,25375,,386,,24006,,983,,4377,67,347815,59991,Africa
Solomon Islands,Australia/Oceania,721159,24575,,153,,,,,1,34077,212,,,WesternPacific
Micronesia,Australia/Oceania,117489,23948,,61,,,,,1,203832,519,54967,467848,WesternPacific
San Marino,Europe,34085,23616,,122,,23471,,23,4,692856,3579,157634,4624732,Europe
Timor-Leste,Asia,1369429,23419,,138,,23102,,179,,17101,101,278529,203391,South-EastAsia
Burkina Faso,Africa,22102838,22056,,396,,21596,,64,,998,18,248995,11265,Africa
Liechtenstein,Europe,38387,21432,,89,,21332,,11,4,558314,2318,112457,2929559,Europe
Gibraltar,Europe,33704,20462,,111,,16579,,3772,,607109,3293,534283,15852213,
Grenada,North America,113475,19680,,238,,19358,,84,4,173430,2097,182981,1612523,Americas
Bermuda,North America,61939,18828,,160,,18653,,15,,303976,2583,1028312,16602012,Americas
Nicaragua,North America,6779100,18491,,225,,4225,,14041,,2728,33,,,Americas
South Sudan,Africa,11618511,18368,,138,,18115,,115,1,1581,12,410280,35313,Africa
Tajikistan,Asia,9957464,17786,,125,,17264,,397,,1786,13,,,Europe
Equatorial Guinea,Africa,1496662,17229,,183,,16907,,139,5,11512,122,365697,244342,Africa
Tonga,Australia/Oceania,107749,16810,,13,,15638,,1159,,156011,121,535009,4965327,WesternPacific
Samoa,Australia/Oceania,202239,16607,,29,,1605,,14973,,82116,143,187397,926612,WesternPacific
Monaco,Europe,39783,16119,,67,,15992,,60,4,405173,1684,78646,1976875,Europe
Dominica,North America,72344,15760,,74,,15673,,13,,217848,1023,229344,3170187,Americas
Djibouti,Africa,1016097,15690,,189,,15427,,74,,15441,186,305941,301094,EasternMediterranean
Marshall Islands,Australia/Oceania,60057,15649,,17,,15528,,104,,260569,283,,,WesternPacific
CAR,Africa,5016678,15368,,113,,15200,,55,2,3063,23,81294,16205,
Gambia,Africa,2558482,12598,,372,,12189,,37,,4924,145,155686,60851,Africa
Saint Martin,North America,39730,12271,,63,,1399,,10809,7,308860,1586,112382,2828643,
Vanuatu,Australia/Oceania,321832,12014,,14,,11976,,24,,37330,44,24976,77606,WesternPacific
Greenland,North America,56973,11971,,21,,2761,,9189,4,210117,369,164926,2894810,Europe
Yemen,Asia,31154867,11945,,2159,,9124,,662,23,383,69,329592,10579,EasternMediterranean
Caribbean Netherlands,North America,26647,11679,,38,,10476,,1165,,438286,1426,30126,1130559,
Sint Maarten,North America,43966,11020,,91,,10905,,24,,250648,2070,62056,1411454,
Eritrea,Africa,3662244,10189,,103,,10086,,0,,2782,28,23693,6470,Africa
Niger,Africa,26083660,9931,,312,,8890,,729,1,381,12,254538,9759,Africa
St. Vincent Grenadines,North America,111551,9589,,123,,9466,,0,,85961,1103,113703,1019292,
Antigua and Barbuda,North America,99509,9106,,146,,8954,,6,1,91509,1467,18901,189943,Americas
Comoros,Africa,907419,9008,,161,,8838,,9,,9927,177,,,Africa
Guinea-Bissau,Africa,2063367,8960,,176,,8660,,124,6,4342,85,145231,70385,Africa
Liberia,Africa,5305117,8090,,295,,7783,,12,2,1525,56,139824,26356,Africa
Sierra Leone,Africa,8306436,7760,,126,,,,,,934,15,259958,31296,Africa
Chad,Africa,17413580,7679,,194,,4874,,2611,,441,11,191341,10988,Africa
British Virgin Islands,North America,30596,7305,,64,,,,,,238757,2092,107339,3508269,
Cook Islands,Australia/Oceania,17571,7031,,2,,7027,,2,,400148,114,19690,1120596,WesternPacific
Saint Kitts and Nevis,North America,53871,6597,,47,,6548,,2,,122459,872,126932,2356221,Americas
Turks and Caicos,North America,39741,6561,,38,,6504,,19,4,165094,956,612335,15408143,
